# X,Y,Z,FA
66,105,52,0.000000
66,105,53,0.000000
66,106,45,0.000000
66,106,46,0.000000
66,106,47,0.322167
66,106,48,0.297249
66,106,49,0.000000
66,106,50,0.000000
66,106,51,0.000000
66,106,52,0.000000
66,107,45,0.000000
66,107,46,0.335227
66,107,47,0.322167
66,107,48,0.000000
66,107,49,0.000000
66,107,50,0.000000
66,107,51,0.000000
66,108,45,0.333233
66,108,46,0.335227
66,108,47,0.000000
66,108,48,0.000000
66,108,49,0.000000
66,108,50,0.000000
66,109,45,0.333233
66,109,46,0.324978
66,109,47,0.000000
66,109,48,0.000000
66,109,49,0.000000
66,110,45,0.333233
66,110,46,0.000000
66,110,47,0.000000
66,110,48,0.000000
66,111,45,0.317270
66,111,46,0.000000
66,112,45,0.000000
67,86,66,0.306643
67,86,67,0.325230
67,86,68,0.000000
67,87,65,0.000000
67,87,66,0.306643
67,87,67,0.000000
67,87,68,0.000000
67,88,64,0.000000
67,88,65,0.297591
67,88,66,0.306643
67,88,67,0.000000
67,89,63,0.000000
67,89,64,0.260792
67,89,65,0.297591
67,89,66,0.000000
67,90,62,0.000000
67,90,63,0.243952
67,90,64,0.260792
67,90,65,0.000000
67,90,66,0.000000
67,91,61,0.000000
67,91,62,0.260773
67,91,63,0.243952
67,91,64,0.000000
67,91,65,0.000000
67,92,60,0.000000
67,92,61,0.242249
67,92,62,0.260773
67,92,63,0.000000
67,92,64,0.000000
67,92,65,0.000000
67,93,59,0.000000
67,93,60,0.254659
67,93,61,0.242249
67,93,62,0.000000
67,93,63,0.000000
67,93,64,0.000000
67,94,58,0.000000
67,94,59,0.257323
67,94,60,0.254659
67,94,61,0.000000
67,94,62,0.000000
67,94,63,0.000000
67,94,64,0.000000
67,95,56,0.000000
67,95,57,0.000000
67,95,58,0.000000
67,95,59,0.257741
67,95,60,0.000000
67,95,61,0.000000
67,95,62,0.000000
67,95,63,0.000000
67,96,55,0.000000
67,96,56,0.000000
67,96,57,0.212179
67,96,58,0.229988
67,96,59,0.257741
67,96,60,0.000000
67,96,61,0.000000
67,96,62,0.000000
67,97,54,0.000000
67,97,55,0.000000
67,97,56,0.212018
67,97,57,0.212179
67,97,58,0.000000
67,97,59,0.000000
67,97,60,0.000000
67,97,61,0.000000
67,98,52,0.000000
67,98,53,0.000000
67,98,54,0.000000
67,98,55,0.206992
67,98,56,0.212018
67,98,57,0.000000
67,98,58,0.000000
67,98,59,0.000000
67,98,60,0.000000
67,99,51,0.000000
67,99,52,0.000000
67,99,53,0.000000
67,99,54,0.220702
67,99,55,0.206992
67,99,56,0.000000
67,99,57,0.000000
67,99,58,0.000000
67,99,59,0.000000
67,100,50,0.000000
67,100,51,0.000000
67,100,52,0.000000
67,100,53,0.000000
67,100,54,0.222021
67,100,55,0.000000
67,100,56,0.000000
67,100,57,0.000000
67,100,58,0.000000
67,101,50,0.000000
67,101,51,0.000000
67,101,52,0.000000
67,101,53,0.000000
67,101,54,0.000000
67,101,55,0.000000
67,101,56,0.000000
67,101,57,0.000000
67,102,49,0.000000
67,102,50,0.000000
67,102,51,0.000000
67,102,52,0.000000
67,102,53,0.000000
67,102,54,0.000000
67,102,55,0.000000
67,102,56,0.000000
67,103,48,0.000000
67,103,49,0.000000
67,103,50,0.000000
67,103,51,0.000000
67,103,52,0.000000
67,103,53,0.000000
67,103,54,0.000000
67,103,55,0.000000
67,104,47,0.000000
67,104,48,0.000000
67,104,49,0.000000
67,104,50,0.000000
67,104,51,0.000000
67,104,52,0.000000
67,104,53,0.000000
67,104,54,0.000000
67,105,46,0.000000
67,105,47,0.000000
67,105,48,0.000000
67,105,49,0.000000
67,105,50,0.000000
67,105,51,0.000000
67,105,52,0.000000
67,105,53,0.000000
67,106,45,0.000000
67,106,46,0.000000
67,106,47,0.000000
67,106,48,0.000000
67,106,49,0.000000
67,106,50,0.000000
67,106,51,0.000000
67,106,52,0.000000
67,107,45,0.000000
67,107,46,0.000000
67,107,47,0.000000
67,107,48,0.000000
67,107,49,0.000000
67,107,50,0.000000
