# X,Y,Z,FA
104,83,72,0.268074
104,83,73,0.275553
104,83,74,0.000000
104,84,69,0.000000
104,84,70,0.000000
104,85,69,0.000000
105,80,72,0.000000
105,80,73,0.000000
105,81,71,0.000000
105,81,72,0.000000
105,81,73,0.263716
105,82,70,0.000000
105,82,71,0.000000
105,82,72,0.261377
105,82,73,0.247015
105,83,69,0.000000
105,83,70,0.000000
105,83,71,0.262009
105,83,72,0.261271
105,83,73,0.236554
105,84,68,0.000000
105,84,69,0.000000
105,84,70,0.305265
105,84,71,0.286575
105,85,67,0.000000
105,85,68,0.000000
105,85,69,0.000000
105,85,70,0.252621
105,85,71,0.000000
105,86,66,0.000000
105,86,67,0.000000
105,86,68,0.000000
105,86,69,0.000000
105,87,66,0.000000
105,87,67,0.000000
105,87,68,0.000000
105,88,65,0.000000
105,88,66,0.000000
105,88,67,0.000000
105,89,64,0.000000
105,89,65,0.000000
105,89,66,0.000000
105,90,65,0.000000
106,81,72,0.000000
106,82,70,0.000000
106,82,71,0.297201
106,82,72,0.295474
106,83,68,0.000000
106,83,69,0.000000
106,83,70,0.305265
106,83,71,0.297201
106,83,72,0.295474
106,84,67,0.000000
106,84,68,0.000000
106,84,69,0.303889
106,84,70,0.305265
106,84,71,0.276613
106,85,66,0.000000
106,85,67,0.000000
106,85,68,0.268041
106,85,69,0.303889
106,85,70,0.000000
106,85,71,0.000000
106,86,65,0.000000
106,86,66,0.000000
106,86,67,0.248406
106,86,68,0.268041
106,86,69,0.000000
106,87,65,0.000000
106,87,66,0.247530
106,87,67,0.248406
106,87,68,0.000000
106,88,64,0.000000
106,88,65,0.000000
106,88,66,0.247530
106,88,67,0.000000
106,88,68,0.000000
106,89,63,0.000000
106,89,64,0.000000
106,89,65,0.000000
106,89,66,0.000000
106,89,67,0.000000
106,90,63,0.000000
106,90,64,0.000000
106,90,65,0.000000
106,90,66,0.000000
106,91,62,0.000000
106,91,63,0.000000
106,91,64,0.000000
106,91,65,0.000000
106,92,63,0.000000
107,82,70,0.000000
107,82,71,0.297201
107,82,72,0.295474
107,83,69,0.000000
107,83,70,0.305265
107,83,71,0.297201
107,84,67,0.000000
107,84,68,0.000000
107,84,69,0.303889
107,84,70,0.305265
107,84,71,0.000000
