# X,Y,Z,FA
95,104,110,0.000000
95,105,104,0.000000
95,105,105,0.000000
95,105,106,0.000000
95,105,107,0.000000
95,105,108,0.000000
95,105,109,0.000000
95,105,110,0.000000
95,106,104,0.000000
95,106,105,0.000000
95,106,106,0.000000
95,106,107,0.000000
95,106,108,0.000000
95,106,109,0.000000
95,106,110,0.000000
95,107,104,0.000000
95,107,105,0.000000
95,107,106,0.000000
95,107,107,0.000000
95,107,108,0.000000
95,107,109,0.000000
95,107,110,0.000000
95,108,104,0.000000
95,108,105,0.000000
95,108,106,0.000000
95,108,107,0.000000
95,108,108,0.000000
95,108,109,0.000000
95,108,110,0.000000
95,109,104,0.000000
95,109,105,0.000000
95,109,106,0.000000
95,109,107,0.000000
95,109,108,0.000000
95,109,109,0.000000
95,109,110,0.000000
95,109,111,0.000000
95,110,105,0.000000
95,110,106,0.000000
95,110,107,0.000000
95,110,108,0.000000
95,110,109,0.000000
95,110,110,0.000000
95,110,111,0.000000
95,111,105,0.000000
95,111,106,0.000000
95,111,107,0.000000
95,111,108,0.000000
95,111,109,0.000000
95,111,110,0.000000
95,111,111,0.000000
95,112,105,0.000000
95,112,106,0.000000
95,112,107,0.000000
95,112,108,0.000000
95,112,109,0.000000
95,112,110,0.000000
95,112,111,0.000000
95,113,105,0.000000
95,113,106,0.000000
95,113,107,0.000000
95,113,108,0.000000
95,113,109,0.000000
95,113,110,0.000000
95,113,111,0.000000
95,114,105,0.000000
95,114,106,0.000000
95,114,107,0.000000
95,114,108,0.000000
95,114,109,0.000000
95,114,110,0.000000
95,114,111,0.000000
95,115,105,0.000000
95,115,106,0.000000
95,115,107,0.000000
95,115,108,0.000000
95,115,109,0.000000
95,115,110,0.000000
95,115,111,0.000000
95,116,105,0.000000
95,116,106,0.000000
95,116,107,0.000000
95,116,108,0.000000
95,116,109,0.000000
95,116,110,0.000000
95,116,111,0.000000
95,117,105,0.000000
95,117,106,0.000000
95,117,107,0.000000
95,117,108,0.000000
95,117,109,0.000000
95,117,110,0.000000
95,117,111,0.000000
95,118,105,0.000000
95,118,106,0.000000
95,118,107,0.000000
95,118,108,0.000000
95,118,109,0.000000
95,118,110,0.000000
95,118,111,0.000000
95,119,105,0.000000
95,119,106,0.000000
95,119,107,0.000000
95,119,108,0.000000
95,119,109,0.000000
95,119,110,0.000000
95,119,111,0.000000
95,120,105,0.000000
95,120,106,0.000000
95,120,107,0.000000
95,120,108,0.000000
95,120,109,0.000000
95,120,110,0.000000
95,120,111,0.000000
95,121,105,0.000000
95,121,106,0.000000
95,121,107,0.000000
95,121,108,0.000000
95,121,109,0.000000
95,121,110,0.000000
95,122,105,0.000000
95,122,106,0.000000
95,122,107,0.000000
95,122,108,0.000000
95,122,109,0.000000
95,122,110,0.000000
95,123,105,0.000000
95,123,106,0.000000
95,123,107,0.000000
95,123,108,0.000000
95,123,109,0.000000
95,123,110,0.000000
95,124,105,0.000000
95,124,106,0.000000
95,124,107,0.000000
95,124,108,0.000000
95,124,109,0.000000
95,125,104,0.000000
95,125,105,0.000000
95,125,106,0.000000
95,125,107,0.000000
95,125,108,0.000000
95,125,109,0.000000
95,126,104,0.000000
95,126,105,0.000000
95,126,106,0.000000
95,126,107,0.000000
95,126,108,0.000000
95,126,109,0.000000
95,127,104,0.000000
95,127,105,0.000000
95,127,106,0.000000
95,127,107,0.000000
95,127,108,0.000000
95,127,109,0.000000
95,128,104,0.000000
95,128,105,0.000000
95,128,106,0.000000
95,128,107,0.000000
95,128,108,0.000000
95,128,109,0.000000
95,129,104,0.000000
95,129,105,0.000000
95,129,106,0.000000
95,129,107,0.000000
95,129,108,0.000000
95,129,109,0.000000
95,130,103,0.000000
95,130,104,0.000000
95,130,105,0.000000
95,130,106,0.000000
95,130,107,0.000000
95,130,108,0.000000
95,131,102,0.000000
95,131,103,0.000000
95,131,104,0.000000
95,131,105,0.000000
95,131,106,0.000000
95,131,107,0.000000
95,131,108,0.000000
95,132,102,0.000000
95,132,103,0.000000
95,132,104,0.000000
95,132,105,0.000000
95,132,106,0.000000
95,132,107,0.000000
95,133,102,0.000000
95,133,103,0.000000
95,133,104,0.000000
95,133,105,0.000000
95,133,106,0.000000
95,133,107,0.000000
95,134,101,0.000000
95,134,102,0.000000
95,134,103,0.000000
95,134,104,0.000000
95,134,105,0.000000
95,134,106,0.000000
95,134,107,0.000000
95,135,101,0.000000
95,135,102,0.000000
95,135,103,0.000000
95,135,104,0.000000
95,135,105,0.000000
95,135,106,0.000000
95,136,100,0.000000
95,136,101,0.000000
95,136,102,0.000000
95,136,103,0.000000
95,136,104,0.000000
